"Name","Live Bytes","Live Objects"
"jdk.internal.reflect.ByteVectorImpl","1 632 B (0%)","68 (0,1%)"
"java.lang.invoke.BoundMethodHandle$Species_LL","1 600 B (0%)","40 (0%)"
"byte[][]","1 584 B (0%)","2 (0%)"
"java.lang.reflect.Field[]","1 560 B (0%)","34 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLJL","1 536 B (0%)","24 (0%)"
"java.util.stream.ReferencePipeline$3","1 536 B (0%)","24 (0%)"
"java.util.jar.JarFile$JarFileEntry","1 536 B (0%)","16 (0%)"
"javax.management.MBeanOperationInfo","1 520 B (0%)","38 (0%)"
"java.util.LinkedHashMap$Entry","1 520 B (0%)","38 (0%)"
"jdk.internal.module.SystemModuleFinders$SystemModuleReader","1 464 B (0%)","61 (0,1%)"
"java.lang.module.ResolvedModule","1 464 B (0%)","61 (0,1%)"
"java.util.logging.Logger$ConfigurationData","1 440 B (0%)","36 (0%)"
"java.time.temporal.ValueRange","1 440 B (0%)","30 (0%)"
"jdk.internal.loader.BuiltinClassLoader$LoadedModule","1 440 B (0%)","60 (0,1%)"
"java.io.ObjectStreamField[]","1 408 B (0%)","51 (0,1%)"
"com.sun.management.internal.DiagnosticCommandImpl$Wrapper","1 408 B (0%)","44 (0,1%)"
"javax.management.MBeanParameterInfo","1 344 B (0%)","42 (0,1%)"
"java.util.stream.ReferencePipeline$Head","1 344 B (0%)","24 (0%)"
"jdk.internal.reflect.NativeConstructorAccessorImpl","1 344 B (0%)","56 (0,1%)"
"javax.management.MBeanOperationInfo[]","1 320 B (0%)","44 (0,1%)"
"java.security.ProtectionDomain$Key","1 280 B (0%)","80 (0,1%)"
"java.security.Principal[]","1 280 B (0%)","80 (0,1%)"
"sun.reflect.generics.tree.SimpleClassTypeSignature","1 272 B (0%)","53 (0,1%)"
"javax.management.ObjectName$Property","1 248 B (0%)","52 (0,1%)"
"java.lang.management.ThreadInfo","1 248 B (0%)","12 (0%)"
"java.time.temporal.ChronoField","1 200 B (0%)","30 (0%)"
"java.lang.reflect.Constructor[]","1 184 B (0%)","50 (0,1%)"
"java.math.BigInteger[]","1 184 B (0%)","38 (0%)"
"java.lang.ref.ReferenceQueue$Lock","1 152 B (0%)","72 (0,1%)"
"boolean[]","1 144 B (0%)","6 (0%)"
"java.lang.Integer[]","1 136 B (0%)","3 (0%)"
"java.util.Arrays$ArrayList","1 104 B (0%)","46 (0,1%)"
"javax.management.ObjectName","1 088 B (0%)","34 (0%)"
"java.security.Provider$UString","1 080 B (0%)","45 (0,1%)"
"com.sun.management.internal.DiagnosticCommandArgumentInfo[]","1 072 B (0%)","44 (0,1%)"
"javax.management.openmbean.ArrayType","1 064 B (0%)","19 (0%)"
"java.util.HashMap$KeySet","1 056 B (0%)","66 (0,1%)"
"jdk.internal.module.SystemModuleFinders$3","1 056 B (0%)","66 (0,1%)"
"java.lang.Long[]","1 040 B (0%)","1 (0%)"
"java.security.AccessControlContext","1 040 B (0%)","26 (0%)"
"java.util.zip.Inflater","1 024 B (0%)","16 (0%)"
"sun.nio.fs.WindowsFileAttributes","1 024 B (0%)","16 (0%)"
"java.util.zip.ZipFile$Source","1 024 B (0%)","16 (0%)"
"java.util.jar.JarFile","1 024 B (0%)","16 (0%)"
"java.io.SerialCallbackContext","1 008 B (0%)","42 (0,1%)"
"sun.reflect.generics.tree.TypeArgument[]","1 000 B (0%)","53 (0,1%)"
"java.io.FileDescriptor","1 000 B (0%)","25 (0%)"
"java.lang.invoke.VarHandle$AccessMode","992 B (0%)","31 (0%)"
"java.util.ImmutableCollections$ListN","992 B (0%)","62 (0,1%)"
"com.sun.jmx.mbeanserver.PerInterface$MethodAndSig","984 B (0%)","41 (0,1%)"
"java.util.jar.Attributes$Name","960 B (0%)","40 (0%)"
"java.io.DataOutputStream","960 B (0%)","24 (0%)"
"java.util.TreeMap$KeyIterator","960 B (0%)","30 (0%)"
"sun.nio.fs.WindowsPath","960 B (0%)","24 (0%)"
"java.util.StringJoiner","960 B (0%)","24 (0%)"
"java.security.Provider$EngineDescription","960 B (0%)","30 (0%)"
"com.sun.jmx.mbeanserver.MXBeanSupport","920 B (0%)","23 (0%)"
"jdk.internal.reflect.DelegatingMethodAccessorImpl","912 B (0%)","57 (0,1%)"
"javax.management.MBeanParameterInfo[]","904 B (0%)","37 (0%)"
"jdk.internal.reflect.DelegatingConstructorAccessorImpl","896 B (0%)","56 (0,1%)"
"java.io.FileCleanable","896 B (0%)","16 (0%)"
"java.lang.management.ManagementPermission","888 B (0%)","37 (0%)"
"java.lang.invoke.MethodHandleImpl$AsVarargsCollector","880 B (0%)","22 (0%)"
"java.lang.invoke.MemberName[]","864 B (0%)","6 (0%)"
"sun.util.locale.BaseLocale","864 B (0%)","27 (0%)"
"java.util.Locale","864 B (0%)","27 (0%)"
"sun.reflect.generics.tree.ClassTypeSignature","848 B (0%)","53 (0,1%)"
"java.lang.invoke.BoundMethodHandle$SpeciesData","816 B (0%)","17 (0%)"
"jdk.internal.reflect.Label$PatchInfo","816 B (0%)","34 (0%)"
"java.io.ObjectStreamClass$EntryFuture","792 B (0%)","33 (0%)"
"javax.management.openmbean.OpenMBeanParameterInfoSupport","784 B (0%)","14 (0%)"
"java.util.Spliterators$ArraySpliterator","768 B (0%)","24 (0%)"
"java.util.stream.Collectors$CollectorImpl","768 B (0%)","24 (0%)"
"jdk.internal.loader.URLClassPath$JarLoader","768 B (0%)","16 (0%)"
"java.util.stream.ReduceOps$3","768 B (0%)","24 (0%)"
"java.util.stream.ReduceOps$3ReducingSink","768 B (0%)","24 (0%)"
"com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference","768 B (0%)","24 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping","768 B (0%)","32 (0%)"
"javax.management.openmbean.CompositeType","728 B (0%)","13 (0%)"
"sun.reflect.generics.repository.MethodRepository","720 B (0%)","18 (0%)"
"javax.management.openmbean.CompositeData[]","720 B (0%)","37 (0%)"
"org.postgresql.core.v3.SimpleQuery","704 B (0%)","11 (0%)"
"java.lang.invoke.BoundMethodHandle$SpeciesData[]","680 B (0%)","17 (0%)"
"java.time.LocalTime","672 B (0%)","28 (0%)"
"java.lang.reflect.Type[]","664 B (0%)","30 (0%)"
"double[]","664 B (0%)","6 (0%)"
"java.util.Collections$SingletonList","648 B (0%)","27 (0%)"
"java.rmi.server.UID","640 B (0%)","20 (0%)"
"jdk.internal.reflect.UnsafeQualifiedStaticLongFieldAccessorImpl","640 B (0%)","16 (0%)"
"java.net.SocksSocketImpl","624 B (0%)","6 (0%)"
"java.lang.invoke.LambdaForm[]","624 B (0%)","3 (0%)"
"javax.management.openmbean.CompositeDataSupport","624 B (0%)","26 (0%)"
"java.util.ArrayList$Itr","608 B (0%)","19 (0%)"
"java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite","600 B (0%)","15 (0%)"
"java.io.ObjectStreamClass$ClassDataSlot","600 B (0%)","25 (0%)"
"com.sun.jmx.mbeanserver.NamedObject","600 B (0%)","25 (0%)"
"java.lang.StackTraceElement[]","592 B (0%)","27 (0%)"
"java.util.stream.Collectors$$Lambda$73.0x0000000801247c40","576 B (0%)","24 (0%)"
"java.util.stream.ReferencePipeline$3$1","576 B (0%)","24 (0%)"
"sun.reflect.generics.tree.MethodTypeSignature","576 B (0%)","18 (0%)"
"java.util.concurrent.TimeUnit","560 B (0%)","7 (0%)"
"java.io.ObjectOutputStream$HandleTable","560 B (0%)","14 (0%)"
"sun.rmi.transport.ConnectionInputStream","560 B (0%)","7 (0%)"
"java.util.HashMap$EntrySet","560 B (0%)","35 (0%)"
"sun.invoke.util.Wrapper","560 B (0%)","10 (0%)"
"javax.management.openmbean.SimpleType","560 B (0%)","14 (0%)"
"java.lang.NoSuchFieldException","560 B (0%)","14 (0%)"
"java.lang.RuntimePermission","552 B (0%)","23 (0%)"
"java.util.ArrayDeque","552 B (0%)","23 (0%)"
"java.io.ObjectInputStream$HandleTable$HandleList[]","552 B (0%)","9 (0%)"
"jdk.internal.reflect.MethodAccessorGenerator$1","544 B (0%)","17 (0%)"
"java.io.File","544 B (0%)","17 (0%)"
"java.lang.ThreadLocal$ThreadLocalMap$Entry","544 B (0%)","17 (0%)"
"java.util.TreeMap$EntrySet","544 B (0%)","34 (0%)"
"java.lang.Character[]","528 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CompositeMapping","528 B (0%)","11 (0%)"
"com.sun.jmx.mbeanserver.PerInterface","520 B (0%)","13 (0%)"
"java.lang.invoke.DirectMethodHandle$Special","520 B (0%)","13 (0%)"
"java.lang.Package$VersionInfo","520 B (0%)","13 (0%)"
"java.io.RandomAccessFile","512 B (0%)","16 (0%)"
"java.time.temporal.ChronoUnit","512 B (0%)","16 (0%)"
"java.util.zip.ZipFile$CleanableResource","512 B (0%)","16 (0%)"
"java.io.ObjectStreamClass$2","504 B (0%)","21 (0%)"
"sun.rmi.transport.ConnectionOutputStream","504 B (0%)","7 (0%)"
"sun.invoke.util.Wrapper[]","496 B (0%)","7 (0%)"
"java.net.InetAddress$InetAddressHolder","480 B (0%)","15 (0%)"
"sun.reflect.generics.factory.CoreReflectionFactory","480 B (0%)","20 (0%)"
"java.lang.StackTraceElement","480 B (0%)","10 (0%)"
"java.io.ObjectStreamClass$FieldReflector","480 B (0%)","12 (0%)"
"java.util.TreeMap$KeySet","464 B (0%)","29 (0%)"
"java.lang.Class$AnnotationData","456 B (0%)","19 (0%)"
"java.util.Collections$SetFromMap","456 B (0%)","19 (0%)"
"java.lang.Package","448 B (0%)","14 (0%)"
"java.nio.DirectByteBuffer","448 B (0%)","7 (0%)"
"java.io.ObjectInputStream$BlockDataInputStream","448 B (0%)","8 (0%)"
"sun.management.MemoryPoolImpl","448 B (0%)","8 (0%)"
"java.lang.OutOfMemoryError","440 B (0%)","11 (0%)"
"java.util.regex.Pattern","440 B (0%)","5 (0%)"
"javax.management.MBeanNotificationInfo[]","440 B (0%)","20 (0%)"
"sun.reflect.generics.scope.MethodScope","432 B (0%)","18 (0%)"
"java.time.Duration","432 B (0%)","18 (0%)"
"sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl","432 B (0%)","18 (0%)"
"java.io.ObjectStreamClass$ClassDataSlot[]","432 B (0%)","18 (0%)"
"java.lang.invoke.Invokers","432 B (0%)","18 (0%)"
"sun.security.jca.ProviderConfig","416 B (0%)","13 (0%)"
"javax.management.StandardMBean","408 B (0%)","17 (0%)"
"java.lang.Class$1","408 B (0%)","17 (0%)"
"java.lang.ThreadLocal$ThreadLocalMap$Entry[]","400 B (0%)","5 (0%)"
"java.util.Properties","392 B (0%)","7 (0%)"
"java.io.DataInputStream","384 B (0%)","12 (0%)"
"com.intellij.rt.execution.application.AppMainV2$1","384 B (0%)","1 (0%)"
"java.util.zip.ZipFile$Source$Key","384 B (0%)","16 (0%)"
"java.lang.invoke.VarHandle$AccessDescriptor","384 B (0%)","12 (0%)"
"java.lang.ref.Finalizer$FinalizerThread","384 B (0%)","1 (0%)"
"jdk.internal.reflect.NativeMethodAccessorImpl","384 B (0%)","16 (0%)"
"java.util.zip.Inflater$InflaterZStreamRef","384 B (0%)","16 (0%)"
"jdk.internal.misc.InnocuousThread","384 B (0%)","1 (0%)"
"java.util.logging.LogManager$Cleaner","384 B (0%)","1 (0%)"
"java.lang.ref.Reference$ReferenceHandler","376 B (0%)","1 (0%)"
"sun.reflect.generics.tree.FieldTypeSignature[]","360 B (0%)","21 (0%)"
"java.security.Permissions","352 B (0%)","11 (0%)"
"org.postgresql.core.NativeQuery","352 B (0%)","11 (0%)"
"java.lang.invoke.MethodType[]","352 B (0%)","8 (0%)"
"sun.reflect.generics.tree.FormalTypeParameter[]","352 B (0%)","21 (0%)"
"org.postgresql.core.ServerVersion","336 B (0%)","14 (0%)"
"java.nio.HeapByteBuffer","336 B (0%)","7 (0%)"
"java.nio.DirectLongBufferU","336 B (0%)","6 (0%)"
"sun.reflect.generics.tree.TypeSignature[]","328 B (0%)","18 (0%)"
"java.lang.ClassLoader$NativeLibrary","320 B (0%)","8 (0%)"
"sun.management.MemoryPoolImpl$PoolSensor","320 B (0%)","8 (0%)"
"java.util.HashMap$ValueIterator","320 B (0%)","8 (0%)"
"sun.management.MemoryPoolImpl$CollectionSensor","320 B (0%)","8 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLJL","320 B (0%)","5 (0%)"
"javax.management.MBeanConstructorInfo[]","312 B (0%)","17 (0%)"
"sun.util.logging.internal.LoggingProviderImpl$JULWrapper","304 B (0%)","19 (0%)"
"java.util.logging.Level$KnownLevel","288 B (0%)","9 (0%)"
"java.net.StandardSocketOptions$StdSocketOption","288 B (0%)","12 (0%)"
"javax.management.MBeanNotificationInfo","288 B (0%)","9 (0%)"
"java.util.Hashtable$Entry","288 B (0%)","9 (0%)"
"java.util.concurrent.atomic.AtomicLong","288 B (0%)","12 (0%)"
"jdk.internal.org.objectweb.asm.Type","288 B (0%)","9 (0%)"
"java.util.logging.Level","288 B (0%)","9 (0%)"
"jdk.internal.reflect.Label","288 B (0%)","18 (0%)"
"sun.rmi.transport.tcp.TCPEndpoint","280 B (0%)","7 (0%)"
"java.io.ObjectOutputStream$BlockDataOutputStream","280 B (0%)","7 (0%)"
"java.lang.invoke.LambdaForm$Kind[]","280 B (0%)","1 (0%)"
"org.postgresql.PGProperty[]","280 B (0%)","1 (0%)"
"jdk.internal.reflect.ClassDefiner$1","272 B (0%)","17 (0%)"
"char[][]","272 B (0%)","1 (0%)"
"java.util.WeakHashMap$KeySet","272 B (0%)","17 (0%)"
"java.lang.invoke.MethodHandleImpl$Intrinsic","264 B (0%)","11 (0%)"
"jdk.internal.reflect.BootstrapConstructorAccessorImpl","256 B (0%)","16 (0%)"
"java.io.ObjectInputStream$PeekInputStream","256 B (0%)","8 (0%)"
"java.util.concurrent.atomic.AtomicInteger","256 B (0%)","16 (0%)"
"java.io.ObjectInputStream$HandleTable","256 B (0%)","8 (0%)"
"java.lang.reflect.ProxyGenerator$PrimitiveTypeInfo","256 B (0%)","8 (0%)"
"java.net.Inet4Address","240 B (0%)","10 (0%)"
"sun.util.locale.provider.LocaleResources$ResourceReference","240 B (0%)","5 (0%)"
"java.util.IdentityHashMap","240 B (0%)","6 (0%)"
"java.nio.file.StandardOpenOption","240 B (0%)","10 (0%)"
"java.nio.charset.CoderResult","240 B (0%)","10 (0%)"
"com.sun.jmx.remote.util.ClassLogger","240 B (0%)","10 (0%)"
"java.rmi.server.ObjID","240 B (0%)","10 (0%)"
"java.net.SocketCleanable","240 B (0%)","5 (0%)"
"java.security.ProtectionDomain[]","232 B (0%)","10 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLJ","224 B (0%)","4 (0%)"
"sun.rmi.transport.StreamRemoteCall","224 B (0%)","7 (0%)"
"java.util.Collections$UnmodifiableMap","224 B (0%)","7 (0%)"
"sun.security.provider.HashDrbg","224 B (0%)","2 (0%)"
"java.util.regex.Pattern$Branch","224 B (0%)","7 (0%)"
"java.lang.invoke.LambdaForm$NamedFunction[]","224 B (0%)","5 (0%)"
"org.postgresql.core.SqlCommand","224 B (0%)","7 (0%)"
"org.postgresql.core.Parser$SqlParseState","224 B (0%)","7 (0%)"
"java.io.ObjectInputStream$FieldValues","216 B (0%)","9 (0%)"
"org.postgresql.core.v3.QueryExecutorImpl","216 B (0%)","1 (0%)"
"sun.util.logging.PlatformLogger$Level","216 B (0%)","9 (0%)"
"sun.rmi.transport.ObjectEndpoint","216 B (0%)","9 (0%)"
"sun.rmi.runtime.Log$LoggerLog","216 B (0%)","9 (0%)"
"java.lang.management.MonitorInfo[]","208 B (0%)","13 (0%)"
"java.lang.management.LockInfo[]","208 B (0%)","13 (0%)"
"java.lang.Thread[]","208 B (0%)","5 (0%)"
"sun.rmi.transport.Transport$$Lambda$115.0x0000000801277c40","208 B (0%)","13 (0%)"
"java.util.Collections$SingletonSet","208 B (0%)","13 (0%)"
"java.util.EnumMap","200 B (0%)","5 (0%)"
"java.util.stream.StreamOpFlag","200 B (0%)","5 (0%)"
"java.net.SocketInputStream","192 B (0%)","4 (0%)"
"java.security.BasicPermissionCollection","192 B (0%)","6 (0%)"
"java.util.HashMap$Values","192 B (0%)","12 (0%)"
"sun.rmi.transport.Transport$1","192 B (0%)","6 (0%)"
"java.io.ObjectInputStream$FieldValues[]","192 B (0%)","8 (0%)"
"java.util.Collections$SynchronizedMap","192 B (0%)","6 (0%)"
"java.nio.DirectByteBufferR","192 B (0%)","3 (0%)"
"sun.nio.cs.UTF_8$Encoder","192 B (0%)","4 (0%)"
"sun.nio.cs.StreamEncoder","192 B (0%)","4 (0%)"
"java.lang.ThreadGroup","192 B (0%)","4 (0%)"
"java.lang.invoke.LambdaForm$BasicType","192 B (0%)","6 (0%)"
"sun.util.resources.Bundles$BundleReference","192 B (0%)","4 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CollectionMapping","192 B (0%)","6 (0%)"
"java.math.RoundingMode","192 B (0%)","8 (0%)"
"java.lang.invoke.VarHandleInts$FieldInstanceReadWrite","192 B (0%)","6 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader$ClassLoaderWrapper","176 B (0%)","2 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader","176 B (0%)","2 (0%)"
"sun.rmi.transport.Target","168 B (0%)","3 (0%)"
"java.math.BigInteger[][]","168 B (0%)","1 (0%)"
"java.lang.System$Logger$Level","168 B (0%)","7 (0%)"
"java.net.NetPermission","168 B (0%)","7 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl$PrivilegedOperation","168 B (0%)","7 (0%)"
"sun.management.counter.Units","168 B (0%)","7 (0%)"
"javax.management.openmbean.OpenMBeanOperationInfoSupport","168 B (0%)","3 (0%)"
"java.util.regex.Pattern$Node[]","168 B (0%)","7 (0%)"
"java.util.regex.Pattern$GroupTail","168 B (0%)","7 (0%)"
"org.postgresql.core.SqlCommandType","168 B (0%)","7 (0%)"
"java.io.ObjectOutputStream$ReplaceTable","168 B (0%)","7 (0%)"
"java.util.regex.Pattern$GroupHead","168 B (0%)","7 (0%)"
"java.lang.Object[][]","160 B (0%)","2 (0%)"
"java.lang.invoke.DirectMethodHandle$Interface","160 B (0%)","4 (0%)"
"java.lang.invoke.DirectMethodHandle$Constructor","160 B (0%)","4 (0%)"
"java.io.FilePermission","160 B (0%)","4 (0%)"
"java.util.RegularEnumSet","160 B (0%)","5 (0%)"
"java.io.BufferedOutputStream","160 B (0%)","5 (0%)"
"java.net.Socket","160 B (0%)","5 (0%)"
"sun.util.locale.provider.LocaleProviderAdapter$Type","160 B (0%)","5 (0%)"
"java.util.Formatter$Flags","160 B (0%)","10 (0%)"
"java.lang.ThreadLocal","160 B (0%)","10 (0%)"
"javax.management.StandardEmitterMBean","160 B (0%)","5 (0%)"
"java.util.logging.Level[]","160 B (0%)","3 (0%)"
"java.lang.invoke.VarHandle$AccessType","160 B (0%)","5 (0%)"
"java.lang.String[][]","152 B (0%)","2 (0%)"
"java.util.Scanner","144 B (0%)","1 (0%)"
"java.nio.HeapCharBuffer","144 B (0%)","3 (0%)"
"java.util.BitSet","144 B (0%)","6 (0%)"
"java.util.regex.Pattern$BmpCharProperty","144 B (0%)","6 (0%)"
"java.lang.Thread$State","144 B (0%)","6 (0%)"
"java.util.concurrent.ThreadPoolExecutor$Worker","144 B (0%)","3 (0%)"
"java.lang.invoke.StringConcatFactory$Strategy","144 B (0%)","6 (0%)"
"java.lang.invoke.VarForm","144 B (0%)","6 (0%)"
"java.net.SocketOutputStream","144 B (0%)","3 (0%)"
"org.postgresql.jdbc.SslMode","144 B (0%)","6 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LLLLLLLJL","144 B (0%)","2 (0%)"
